Folio Muestra,Fecha,Municipio,Coliformes Fecales,Color,pH,Ion Fluoruro,Sólidos Disueltos Totales,Dureza Total (CaCO3),Cloro Libre Residual
000057,16 de enero de 2024,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000056,16 de enero de 2024,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000078,17 de enero de 2024,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000079,17 de enero de 2024,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000105,18 de enero de 2024,Tonalá,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000168,25 de enero de 2024,Tonalá,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000177,29 de enero de 2024,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000317,14 de febrero de 2024,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000492,29 de febrero de 2024,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000778,21 de marzo de 2024,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000832,26 de marzo de 2024,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000858,27 de marzo de 2024,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000859,27 de marzo de 2024,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
001098,11 de abril de 2024,Tonalá,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
001244,19 de abril de 2024,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
001245,19 de abril de 2024,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
